mask,condition,seed,AUC,F1,KS
A,C0_base,42,0.7745846511796998,0.6472868217054264,0.46782637146908057
A,C1_sem,42,0.729559748427673,0.651252408477842,0.3700149052968335
A,C2_dir,42,0.7398116842985423,0.631163708086785,0.37617697313411136
A,C3_both,42,0.7716217690042535,0.6641074856046065,0.4420692914530846
A,C0_base,43,0.7619151488711965,0.6642066420664207,0.43559821136438004
A,C1_sem,43,0.7724215654197113,0.6578449905482041,0.4635729087141455
A,C2_dir,43,0.7660777256698295,0.7132616487455197,0.42634602101283303
A,C3_both,43,0.7804377067655507,0.723404255319149,0.4561747918711601
A,C0_base,44,0.746337295961028,0.6679035250463822,0.4084960191951139
A,C1_sem,44,0.7618060857236341,0.6382978723404256,0.4549750972479733
A,C2_dir,44,0.747991420365725,0.6931407942238267,0.41349474679172576
A,C3_both,44,0.7843094485040172,0.7676767676767676,0.4776784091322209
A,C0_base,45,0.7676227869269641,0.6992753623188406,0.4115497873268623
A,C1_sem,45,0.7764023703057403,0.7282415630550622,0.4513214818046316
A,C2_dir,45,0.7495183044315993,0.7231833910034602,0.39226378739957096
A,C3_both,45,0.7768931544697714,0.7005444646098004,0.4401788635620024
A,C0_base,46,0.7771112807648963,0.7090909090909091,0.4756425637110554
A,C1_sem,46,0.7828007416294034,0.7529812606473595,0.4425782528083761
A,C2_dir,46,0.746246410004726,0.6666666666666666,0.42523721234594836
A,C3_both,46,0.7513996437270514,0.7192982456140351,0.4256552877449377
B,C0_base,42,0.7847638782855273,0.65748031496063,0.4536299850947031
B,C1_sem,42,0.7942160177409388,0.7551020408163265,0.5064892572799651
B,C2_dir,42,0.7494092412840369,0.6827458256029685,0.39609917475551676
B,C3_both,42,0.7951430544952195,0.7615780445969125,0.4840586032646236
B,C0_base,43,0.7911804268004509,0.7401032702237521,0.48082306322027124
B,C1_sem,43,0.7889264550841604,0.6365422396856582,0.47291598502199444
B,C2_dir,43,0.7685680008725052,0.6602316602316602,0.42098374959101326
B,C3_both,43,0.7858908641436726,0.6679462571976967,0.48022321590867784
B,C0_base,44,0.7604246191878432,0.6438095238095238,0.4334714799869125
B,C1_sem,44,0.7534627549351074,0.6897810218978102,0.41349474679172576
B,C2_dir,44,0.7754208019776785,0.7208480565371025,0.41700294470498417
B,C3_both,44,0.7824553749954557,0.7589743589743589,0.4541389464499946
B,C0_base,45,0.7656051186970589,0.6525911708253359,0.40184316719380525
B,C1_sem,45,0.7529901479623369,0.6616257088846881,0.4308357872541535
B,C2_dir,45,0.7685680008725052,0.6692015209125475,0.4498854836950595
B,C3_both,45,0.7765659650270841,0.7153284671532847,0.44410513687425024
B,C0_base,46,0.7814738066673937,0.7417677642980935,0.47606063911004476
B,C1_sem,46,0.7744028792670956,0.7266313932980599,0.44674082960700917
B,C2_dir,46,0.7525357181808268,0.7014388489208633,0.4347620605664012
B,C3_both,46,0.7699676445995566,0.6923076923076923,0.4204747882357219
