ratio_id,level_smd,trend_smd,level_med_nb,level_med_b,neg_share,p99_over_p50,max_abs_smd
15,1.6615,0.6207,60.71,122.92,0.0,3.1183,1.6615
1,-1.2998,-0.5478,3.21,-19.16,0.2282,18.8093,1.2998
3,-1.1653,-0.583,2.01,-22.34,0.2038,35.7536,1.1653
16,-0.7642,-0.2042,16.82,-9.51,0.1218,44.6371,0.7642
9,0.7378,0.3982,81.955,331.355,0.0,39.3387,0.7378
19,0.5946,0.0681,0.0,8.22,0.0,55831399999.9999,0.5946
6,-0.5626,0.0229,1.44,0.535,0.0,42.1884,0.5626
14,-0.5341,-0.2828,21.1,-0.69,0.0894,10.012,0.5341
5,-0.5269,0.0315,1.08,0.31,0.0,49.9051,0.5269
4,-0.5127,0.0989,0.33,0.01,0.013,105.3309,0.5127
20,0.4876,0.1006,9.36,18.455,0.0,11.8087,0.4876
17,-0.4857,-0.2674,1.29,-0.14,0.0437,58.353,0.4857
8,0.4417,0.1393,52.9,96.17,0.0,26.3136,0.4417
7,0.3377,0.1226,246.15,364.13,0.0,40.2432,0.3377
11,0.3032,0.2674,0.65,1.37,0.0,150.6302,0.3032
10,0.1862,0.0627,32.785,39.505,0.0,29.8327,0.1862
13,0.0361,-0.1553,2.16,-0.24,0.0749,58.9153,0.1553
2,0.0741,0.1061,12.47,26.24,0.2002,33.8704,0.1061
21,-0.0155,-0.0487,44.98,47.435,0.049,10.7774,0.0487
12,0.0093,-0.02,1.4,-1.285,0.0774,882.2076,0.02
