,agriculture,construction,manufacture,retail
ROA,0.1387,0.1372,0.1082,0.1242
ROS,0.1883,0.1164,0.0916,0.0979
ROI,0.0841,0.1292,0.0611,0.111
ROE,0.1347,0.1343,0.1113,0.1209
LRR,0.3902,0.1428,0.225,0.0834
WAR,0.3233,0.1352,0.1736,0.143
L1,0.4673,0.3498,0.4146,0.3633
L2,0.3123,0.1361,0.1862,0.2402
L3,0.2067,0.179,0.1838,0.172
TAT,0.6911,0.2209,0.1521,0.171
ATD,0.2253,0.1734,0.0841,0.0799
DTR,0.3044,0.1861,0.1085,0.1394
ITD,0.4751,0.0588,0.0763,0.1077
DA,0.2429,0.4366,0.3153,0.4171
DE,0.0492,0.1034,0.0598,0.0972
FL,0.0439,0.0946,0.0562,0.0904
DIR,0.0425,0.0946,0.0554,0.0901
DCR,0.1029,0.1847,0.1213,0.1675
ACR,0.1449,0.161,0.1339,0.1543
BL,0.1456,0.0949,0.1311,0.0953
